N1,N2,N3,N4,N5,N6,N7
29,1,8,11,3,7,4
27,4,4,5,1,7,8
12,2,2,4,8,4,2
12,1,2,3,2,4,2
6,1,5,6,2,4,1
7,1,1,3,0,2,3
9,1,2,4,0,3,1
20,0,1,6,5,2,3
69,10,8,9,5,7,1
159,12,9,27,2,10,10
226,17,15,53,7,21,13
214,33,17,61,8,29,23
183,16,26,54,9,36,22
157,10,22,40,6,29,7
210,19,25,50,17,34,16
233,17,32,53,6,51,19
200,11,36,52,18,43,24
199,13,33,50,14,63,36
215,12,41,52,11,58,21
236,11,28,51,8,54,18
165,8,22,40,5,39,8
116,5,15,31,6,30,11
84,6,13,32,5,21,10
73,3,15,13,4,23,5
41,3,7,17,2,13,5
38,1,5,7,1,9,11
29,1,2,4,1,7,3
30,1,2,7,4,7,2
12,0,0,5,4,1,7
5,1,1,3,1,2,5
11,2,5,8,3,4,2
16,4,6,5,4,6,1
76,6,8,4,6,3,5
166,18,15,16,7,19,10
306,28,32,47,20,27,16
385,21,48,71,19,38,29
369,20,35,67,13,41,17
249,7,22,44,10,38,12
344,15,18,34,12,28,20
347,17,32,47,7,43,18
317,15,30,62,20,37,24
267,16,36,53,14,58,27
215,19,34,54,12,46,22
167,5,21,26,11,49,21
112,9,16,21,7,33,14
94,6,14,28,4,25,9
87,10,19,19,2,24,16
58,3,15,21,2,20,10
22,3,3,7,2,10,3
20,2,6,4,1,5,3
20,0,7,8,0,2,2
11,0,2,5,3,7,2
9,0,3,4,4,1,1
14,1,2,3,3,4,1
6,2,2,5,1,0,4
21,2,5,3,3,2,1
46,6,13,10,4,11,4
151,16,16,22,6,15,4
299,15,28,30,10,22,16
377,27,23,57,20,34,15
311,20,28,44,11,40,24
252,8,18,43,14,21,17
232,12,15,45,12,36,21
264,9,25,50,11,47,17
221,12,29,60,13,58,31
167,14,31,52,19,74,29
167,8,24,56,10,62,29
122,5,20,30,5,49,17
109,4,19,22,9,32,15
73,1,18,20,4,29,7
78,5,12,12,1,20,9
41,2,9,10,3,14,5
27,2,5,4,4,12,9
26,0,5,4,1,8,2
16,0,2,4,1,3,3
12,1,2,6,2,7,1
7,0,1,1,2,6,5
5,1,2,4,4,1,2
6,0,3,6,3,2,1
20,1,5,4,1,3,1
89,18,11,17,8,12,7
178,10,13,33,8,25,17
234,18,17,47,6,27,13
226,20,31,52,12,39,25
182,12,22,43,20,31,29
156,12,18,42,5,34,19
177,2,22,53,12,31,20
155,5,24,58,13,43,24
113,17,27,67,12,51,25
205,16,10,16,7,23,11
142,20,46,78,24,66,28
123,7,17,25,6,44,10
106,6,15,23,7,29,8
66,3,11,24,6,19,10
61,3,6,13,7,24,11
44,0,7,18,7,6,7
19,2,8,8,1,19,6
19,4,4,4,2,7,7
12,1,4,1,2,8,3
15,2,3,2,2,2,2
15,2,6,1,0,3,3
13,0,2,3,0,5,4
