N1_Ori,N2_Ori,N3_Ori,N4_Ori,N5_Ori,N6_Ori,N7_Ori,N8_Ori,N9_Ori,N10_Ori,N11_Ori,N12_Ori,N13_Ori,N14_Ori,N15_Ori,N16_Ori,N17_Ori,N18_Ori,N19_Ori,N20_Ori,N21_Ori,N22_Ori,N23_Ori,N24_Ori,N25_Ori
2.998064350086653e+18,3.4459566788079473e+18,3.663901358156028e+18,3.866420938356164e+18,3.814693913385828e+18,3.805986268571429e+18,3.732795806060608e+18,3.9609336790697646e+18,4.1281939951456287e+18,4.140182698275861e+18,4.0306170430622024e+18,4.035204426666667e+18,3.9424053251533727e+18,3.931393533742333e+18,3.851904377358488e+18,3.8732570188679214e+18,3.8572902014388495e+18,3.98767242222222e+18,3.9296494916201134e+18,3.85858223809524e+18,3.95562208588957e+18,3.9571346284153016e+18,3.841409036036036e+18,3.813130012269939e+18,3.7768874153846144e+18
3.3749578915401334e+18,3.545554793522266e+18,3.7650051541850214e+18,3.8516432615384617e+18,3.7951706956521754e+18,3.690316120418847e+18,3.901613862244898e+18,4.0432241e+18,3.996122798994977e+18,4.160817720379144e+18,3.969409276315789e+18,4.059576807228915e+18,3.98140091549296e+18,3.9139250218978135e+18,3.9167315276381937e+18,3.8880205434782577e+18,3.833329427536232e+18,3.808544971563981e+18,3.9001603439490447e+18,3.906246834254143e+18,3.862788372093022e+18,3.814368286516857e+18,3.824847918181817e+18,3.83250439455782e+18,3.7167528755186714e+18
3.178378353420199e+18,3.486313369718309e+18,3.6297717306397286e+18,3.646371353790615e+18,3.732332805970149e+18,3.638288973509933e+18,3.854567988571428e+18,3.7475456720430095e+18,4.113461232558141e+18,3.99398044736842e+18,4.0661856395348833e+18,4.1377924529411753e+18,4.02216081875e+18,3.8344053204419886e+18,4.0093842258064497e+18,3.8335624928571423e+18,3.8513114388489206e+18,3.829730698113209e+18,4.0174965497076024e+18,3.81238189473684e+18,3.9930236301369856e+18,3.8864296939890714e+18,3.8680453693693727e+18,3.776251830303032e+18,3.7024218738738734e+18
3.051536862876255e+18,3.4323508137535805e+18,3.65166666920152e+18,3.71164617167382e+18,3.703030851562504e+18,3.656577509090907e+18,3.799568450261781e+18,4.028383963414632e+18,3.97848351569507e+18,4.0268877799043057e+18,3.996093633136095e+18,4.0436005520361994e+18,4.0036967914438497e+18,3.908906795275591e+18,3.89969171165644e+18,3.8542388260869586e+18,3.830783132183909e+18,3.9161544432989696e+18,3.871926965034963e+18,3.8949721126760566e+18,4.0773409935897405e+18,3.7819179743589734e+18,3.7780333373493975e+18,3.8169642857142845e+18,3.698979814371256e+18
3.106489948811698e+18,3.427820922807019e+18,3.735566797909408e+18,3.9141028195876296e+18,3.727194293814433e+18,3.770262260115608e+18,3.816841465408805e+18,3.974119043209877e+18,4.063039508196722e+18,4.1563412564102574e+18,4.08737955652174e+18,4.0231881497005993e+18,3.975600807228916e+18,3.849574602564103e+18,3.904257641509437e+18,3.87816810625e+18,3.8266262179487186e+18,3.8463074516129024e+18,4.0381771947368417e+18,3.905305763636362e+18,3.9057170606060616e+18,3.9031867904191616e+18,3.8104911366120207e+18,3.7793814397590354e+18,3.731514547058824e+18
3.311879970711298e+18,3.5629155362903214e+18,3.72810213656388e+18,3.7666059791666657e+18,3.660382607142856e+18,3.724568468571432e+18,3.7374529067796593e+18,3.871114988636364e+18,3.9612431717791406e+18,4.175608597402596e+18,4.188685402985076e+18,4.0573284939759017e+18,3.936509728e+18,3.8384662403846134e+18,3.925434987421384e+18,4.00564947887324e+18,3.8815684840764334e+18,3.914366071428571e+18,3.836964949044584e+18,3.861546619565216e+18,3.8152191966292127e+18,3.891957096551724e+18,3.848372269607842e+18,3.702520848e+18,3.813340719298244e+18
3.1183985863192166e+18,3.4170996302250783e+18,3.6056359634551526e+18,3.7063556940298496e+18,3.668376539906105e+18,3.7304071173469384e+18,3.81495127222222e+18,4.058990577114424e+18,3.924549219626169e+18,4.039874791666668e+18,4.109794046511628e+18,4.016401875675676e+18,3.960811802197803e+18,3.8758681420454543e+18,3.850838276729559e+18,3.837926742105264e+18,3.7904441e+18,3.8736798280254766e+18,3.8041093900709217e+18,4.1178305342465736e+18,3.864486369565216e+18,3.9770986464088376e+18,3.7866310630630625e+18,3.790045589108912e+18,3.707290886363636e+18
3.1211903799682017e+18,3.437640507462684e+18,3.6553469531914926e+18,3.795878147540984e+18,3.725075178423239e+18,3.6351681506849326e+18,3.86435938071066e+18,3.92965934751773e+18,4.111018908602149e+18,4.0342277919075133e+18,4.1118011445086674e+18,3.9706381630434785e+18,4.01122049659864e+18,3.8638264263565885e+18,3.9924376556291374e+18,3.8745428e+18,3.9060772303370793e+18,3.843561e+18,3.916577748427672e+18,3.8710707569060767e+18,3.8901687264150927e+18,3.900046524390242e+18,3.8277304961832054e+18,3.878901082840236e+18,3.703117518292684e+18
3.161386907449211e+18,3.5832589139344236e+18,3.7226013636363607e+18,3.8070521894273096e+18,3.7416471515151514e+18,3.5337734e+18,3.8969101840796e+18,3.917081223577233e+18,4.0663291812865464e+18,4.0324486751269023e+18,4.149622803652965e+18,4.063772273333333e+18,3.967164631313128e+18,3.8724951696428575e+18,3.9612163076923105e+18,3.919891685185185e+18,3.8898088409090913e+18,3.784947169811321e+18,3.945448638888889e+18,4.000562981818184e+18,4.003955485148514e+18,3.8392793735632225e+18,3.8641087586206874e+18,3.8094925097087386e+18,3.752072784946236e+18
3.236036299765807e+18,3.558186839009288e+18,3.6744992065217367e+18,3.722307089171974e+18,3.6106946607142866e+18,3.679880965e+18,3.77331235443038e+18,3.898472513761468e+18,4.124940029411766e+18,4.2026676206896543e+18,3.9928179734513265e+18,4.0224720348837217e+18,3.994673721893491e+18,3.860244884057971e+18,3.899476223350252e+18,3.9186494505494513e+18,3.89029175568182e+18,3.847015644329899e+18,3.864447865168542e+18,3.919539833333333e+18,3.7656482105263165e+18,3.976607806451612e+18,3.8167322146892657e+18,3.7917981629629614e+18,3.721194235294117e+18
